idna_subject,checker_type,destination,tested_at
006.free-adult-counters.x-xtra.com,AVAILABILITY,origin.list,2021-01-13 20:28:28.867283
00zasdf.pw,AVAILABILITY,origin.list,2021-01-13 20:29:01.350957
0aac4e6a54c170b0.se,AVAILABILITY,origin.list,2021-01-13 20:41:05.174707
1033.bitterstrawberry.com,AVAILABILITY,origin.list,2021-01-13 20:44:54.168506
11163929-2410.c.adprotect.net,AVAILABILITY,origin.list,2021-01-13 20:46:24.036281
11163929-3212.c.adprotect.net,AVAILABILITY,origin.list,2021-01-13 20:46:34.671935
11163943.c.adprotect.net,AVAILABILITY,origin.list,2021-01-13 20:46:55.299591
11164000-690.c.adprotect.net,AVAILABILITY,origin.list,2021-01-13 20:47:01.159333
11262.engine.mobileapptracking.com,AVAILABILITY,origin.list,2021-01-13 20:47:17.897731
1212.bitterstrawberry.com,AVAILABILITY,origin.list,2021-01-14 00:57:29.980532
1221.bitterstrawberry.com,AVAILABILITY,origin.list,2021-01-14 00:57:42.835602
08.185.87.0.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:37:08.764218
08.185.87.00.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:37:14.387226
08.185.87.01.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:37:19.965533
08.185.87.02.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:37:25.562341
08.185.87.03.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:37:31.238803
08.185.87.04.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:37:36.899924
08.185.87.05.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:37:42.535627
08.185.87.06.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:37:48.112731
08.185.87.07.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:37:53.693882
08.185.87.08.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:37:59.291810
08.185.87.09.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:38:04.849748
08.185.87.1.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:38:10.445348
08.185.87.10.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:38:16.085195
08.185.87.100.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:38:21.632722
08.185.87.101.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:38:27.202269
08.185.87.103.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:38:32.751429
08.185.87.104.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:38:38.291928
08.185.87.105.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:38:43.846593
08.185.87.106.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:38:49.440146
08.185.87.107.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:38:55.119053
08.185.87.108.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:00.763734
08.185.87.109.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:06.318705
08.185.87.11.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:11.873718
08.185.87.110.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:17.462160
08.185.87.111.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:23.270886
08.185.87.113.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:28.859149
08.185.87.114.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:34.443931
08.185.87.115.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:40.011632
08.185.87.116.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:45.565941
08.185.87.117.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:51.187233
08.185.87.118.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:39:56.700933
08.185.87.119.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:02.332167
08.185.87.13.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:07.947685
08.185.87.130.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:13.473223
08.185.87.131.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:19.061941
08.185.87.133.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:24.636480
08.185.87.134.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:30.272334
08.185.87.135.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:35.844225
08.185.87.136.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:41.519751
08.185.87.137.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:47.093967
08.185.87.138.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:52.709869
08.185.87.139.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:40:58.432082
08.185.87.14.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:04.052254
08.185.87.140.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:09.645771
08.185.87.141.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:15.189265
08.185.87.143.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:20.684266
08.185.87.144.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:26.309775
08.185.87.145.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:31.941115
08.185.87.146.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:37.525300
08.185.87.147.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:43.136521
08.185.87.148.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:48.795270
08.185.87.149.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:54.315803
08.185.87.15.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:41:59.867600
08.185.87.150.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:42:05.770510
08.185.87.151.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:42:11.416898
08.185.87.153.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:42:17.027302
08.185.87.154.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:42:22.646146
08.185.87.155.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:42:28.216617
08.185.87.156.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:42:33.770385
08.185.87.157.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:42:39.399525
08.185.87.158.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:42:44.993008
08.185.87.159.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:42:50.530411
08.185.87.16.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:42:56.147451
08.185.87.160.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:01.752302
08.185.87.161.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:07.440915
08.185.87.163.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:13.069137
08.185.87.164.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:18.663779
08.185.87.165.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:24.275141
08.185.87.166.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:29.886498
08.185.87.167.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:35.420102
08.185.87.168.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:41.056807
08.185.87.169.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:46.674959
08.185.87.17.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:52.264342
08.185.87.170.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:43:57.880461
08.185.87.171.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:03.470535
08.185.87.173.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:09.065126
08.185.87.174.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:14.641839
08.185.87.175.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:20.242825
08.185.87.176.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:25.822935
08.185.87.177.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:31.401136
08.185.87.178.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:37.112223
08.185.87.179.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:42.706731
08.185.87.18.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:48.308321
08.185.87.180.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:53.786353
08.185.87.181.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:44:59.320851
08.185.87.183.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:45:04.976898
08.185.87.184.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:45:10.598446
08.185.87.185.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:45:16.180117
08.185.87.186.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:45:21.746808
08.185.87.187.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:45:27.360784
08.185.87.188.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:45:32.941087
08.185.87.189.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:45:38.490624
08.185.87.19.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:45:44.132621
08.185.87.190.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:45:49.809053
08.185.87.191.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:45:55.430153
08.185.87.193.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:00.974782
08.185.87.194.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:06.607988
08.185.87.195.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:12.213764
08.185.87.196.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:17.832400
08.185.87.197.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:23.409223
08.185.87.198.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:28.941739
08.185.87.199.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:34.557787
08.185.87.3.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:40.100180
08.185.87.30.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:45.619537
08.185.87.31.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:51.276249
08.185.87.33.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:46:56.912789
08.185.87.34.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:02.477701
08.185.87.35.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:08.027557
08.185.87.36.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:13.638630
08.185.87.37.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:19.349612
08.185.87.38.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:24.980146
08.185.87.39.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:30.560827
08.185.87.4.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:36.466395
08.185.87.40.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:42.059032
08.185.87.41.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:47.609966
08.185.87.43.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:53.227965
08.185.87.44.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:47:58.872047
08.185.87.45.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:48:04.504196
08.185.87.46.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:48:10.103217
08.185.87.47.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:48:15.684913
08.185.87.48.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:48:21.243129
08.185.87.49.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:48:26.775053
08.185.87.5.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:48:32.442354
08.185.87.50.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:48:38.046663
08.185.87.51.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:48:43.698615
08.185.87.53.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:48:49.277013
08.185.87.54.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:48:54.832349
08.185.87.55.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:49:00.367024
08.185.87.56.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:49:05.947180
08.185.87.57.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:49:11.509912
08.185.87.58.liveadvert.com,AVAILABILITY,origin.list,2021-07-04 03:49:17.065565
